ITACYL;LC2017;LC2018;LC2019;LC2020;LC2021;LC2022;ITACYL2017;ITACYL2018;ITACYL2019;ITACYL2020;LandCover2017;LandCover2018;LandCover2019;LandCover2020
147;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
148;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
149;-1;32;-1;-1;-1;-1;-;QUERCUS FAGINEA;-;-;-;Quejigares;-;-
150;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
151;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
152;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
153;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
154;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
155;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
156;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
157;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
158;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
159;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
160;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
161;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
162;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
163;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
164;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
165;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
166;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
167;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
168;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
169;-1;10;-1;-1;-1;-1;-;HUERTA CEBOLLA;-;-;-;OtrosCultivos;-;-
170;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
171;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
172;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
173;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
174;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
175;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
176;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
177;10;-1;-1;-1;-1;-1;AROMATICAS;-;-;-;OtrosCultivos;-;-;-
178;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
179;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
180;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
181;9;-1;-1;-1;-1;-1;FRUTALES;-;-;-;Frutales;-;-;-
182;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
183;9;-1;-1;-1;-1;-1;FRUTALES CASCARA;-;-;-;Frutales;-;-;-
184;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
185;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
186;-1;31;-1;-1;-1;-1;-;QUERCUS PYRENAICA;-;-;-;Rebollares;-;-
187;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
188;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
189;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
190;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
191;-1;34;-1;-1;-1;-1;-;FAGUS SYLVATICA;-;-;-;Hayedos;-;-
192;-1;37;37;37;-1;-1;-;POPULUS SPP.;Chopos;Chopos;-;Choperas de produccion;Choperas de produccion;Choperas de produccion
193;-1;10;-1;-1;-1;-1;-;HUERTA;-;-;-;OtrosCultivos;-;-
194;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
195;-1;28;-1;-1;-1;-1;-;EUCALYPTUS CAMALDULENSIS;-;-;-;Eucalyptus;-;-
196;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
197;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
198;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
199;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
200;56;-1;-1;-1;-1;-1;PASTIZAL;-;-;-;Herbazales Rudero-Arvenses;-;-;-
201;40;40;40;40;-1;-1;MATORRAL;MATORRAL;Matorral;Matorral;Matorral;Matorral;Matorral;Matorral
202;20;-1;-1;-1;-1;-1;CONIFERAS;-;-;-;Conifera;-;-;-
203;30;-1;30;30;-1;-1;FRONDOSAS CADUCIFOLIAS;-;Frondosas Caducifolias;Frondosas Caducifolias;Frondosa caducifolia;-;Frondosa caducifolia;Frondosa caducifolia
204;38;-1;38;38;-1;-1;FRONDOSAS SIEMPRE VERDES;-;Frondosas Perennifolias;Frondosas Perennifolias;Frondosa perennifolia;-;Frondosa perennifolia;Frondosa perennifolia
205;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
206;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
207;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
208;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
209;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
210;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
211;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
212;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
213;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
214;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
215;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
216;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
217;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
218;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
219;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
220;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
221;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
222;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
223;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
224;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
225;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
226;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
227;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
228;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
229;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
230;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
231;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
232;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
233;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
234;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
235;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
236;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
237;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
238;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
239;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
240;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
241;-1;33;-1;-1;-1;-1;-;QUERCUS ROBUR;-;-;-;Robledales albar;-;-
242;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
243;-1;35;35;35;-1;-1;-;CASTA¥ARES;Castaños;Castaños;-;Castañares;Castañares;Castañares
244;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
245;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
246;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
247;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
248;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
249;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
250;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
251;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
252;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
253;-1;-1;-1;-1;-1;-1;-;-;-;-;-;-;-;-
254;-1;14;14;14;-1;-1;-;PARQUES;Parques;Parques;-;Parque;Parque;Parque
255;15;15;15;15;-1;-1;LAMINA AGUA;LAMINA AGUA;Lamina Agua;Lamina Agua;Lamina Agua;Lamina Agua;Lamina Agua;Lamina Agua
